tensor([[-0.6967,  1.2651,  0.2012,  0.0809, -0.8481,  0.5602,  0.9511, -1.5312,
         -0.4145, -0.1749, -0.1906,  0.9439,  0.3489, -1.0213,  0.9177,  1.2826,
         -0.7908, -1.9090,  0.0059, -1.4203, -1.5139,  0.6017, -0.3110, -0.4211,
         -0.4700,  0.7207,  0.1589, -0.4509, -2.4838,  0.9703, -1.0376,  0.0568,
         -0.3667,  0.4662,  0.8748,  1.1615,  0.6199, -0.8279, -1.5004,  1.6520,
          0.1458, -0.6273,  0.4813,  1.2842,  0.2009,  0.3081, -0.2005, -0.7700,
          0.7702, -0.2712,  0.3774,  2.9204,  1.2330, -1.9741,  1.3924, -0.9973,
          0.3837,  0.8108, -1.2849, -1.1326, -0.7293, -1.7031, -1.0785,  0.0042,
          0.3786, -0.2551,  0.5417, -0.0450,  1.4392,  0.1985, -1.3619, -1.8911,
          0.5963, -2.2628, -0.5041, -1.0988, -0.4527,  0.0097,  1.1248, -1.5355,
         -0.6080,  2.5875, -1.1239, -1.1067, -0.8080,  1.8298,  0.8943,  1.1152,
          0.5539, -2.4995,  1.0926,  1.4527, -0.8826,  1.2522, -0.4546,  0.3775,
          1.1151,  0.3837, -0.4357, -0.0257,  0.2641, -0.1334, -0.4273,  0.5494,
         -2.6180,  0.4914,  2.1126, -1.5530, -1.7526, -1.7531,  0.8179,  0.3337,
          0.5127, -1.1428,  0.6618,  0.9677, -0.0215, -0.0190, -0.9381,  1.2017,
          0.1934,  0.4761, -0.1264, -0.5707, -0.9548,  1.1529,  0.3580,  0.4345]])
